Author,transformed_url
https://www.goodreads.com/author/show/1199103.Manik_Bandopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/1199103.Manik_Bandopadhyay?page=3&per_page=30
https://www.goodreads.com/author/show/4858998.Gajendrakumar_Mitra?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4858998.Gajendrakumar_Mitra?page=3&per_page=30
https://www.goodreads.com/author/show/4858997.Leela_Majumdar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4858997.Leela_Majumdar?page=3&per_page=30
https://www.goodreads.com/author/show/3971478.Ashapurna_Devi?from_search=true&from_srp=true,https://www.goodreads.com/author/list/3971478.Ashapurna_Devi?page=3&per_page=30
https://www.goodreads.com/author/show/6309782.Bishnu_Dey?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6309782.Bishnu_Dey?page=3&per_page=30
https://www.goodreads.com/author/show/6876567.Arun_Mitra,https://www.goodreads.com/author/list/6876567.Arun_Mitra?page=3&per_page=30
https://www.goodreads.com/author/show/3367546.Subodh_Ghosh?from_search=true&from_srp=true,https://www.goodreads.com/author/list/3367546.Subodh_Ghosh?page=3&per_page=30
https://www.goodreads.com/author/show/7055561.Nihar_Ranjan_Gupta?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7055561.Nihar_Ranjan_Gupta?page=3&per_page=30
https://www.goodreads.com/author/show/17888122.Abu_Jafar_Shamsuddin?from_search=true&from_srp=true,https://www.goodreads.com/author/list/17888122.Abu_Jafar_Shamsuddin?page=3&per_page=30
https://www.goodreads.com/author/show/840916.Sufia_Kamal?from_search=true&from_srp=true,https://www.goodreads.com/author/list/840916.Sufia_Kamal?page=3&per_page=30
https://www.goodreads.com/author/show/46546.Bimal_Mitra?from_search=true&from_srp=true,https://www.goodreads.com/author/list/46546.Bimal_Mitra?page=3&per_page=30
https://www.goodreads.com/author/show/862108.Adwaita_Mallabarman?from_search=true&from_srp=true,https://www.goodreads.com/author/list/862108.Adwaita_Mallabarman?page=3&per_page=30
https://www.goodreads.com/author/show/4859097.Kamal_Kumar_Majumdar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4859097.Kamal_Kumar_Majumdar?page=3&per_page=30
https://www.goodreads.com/author/show/6309771.Protiva_Bose?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6309771.Protiva_Bose?page=3&per_page=30
https://www.goodreads.com/author/show/4859098.Narendranath_Mitra?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4859098.Narendranath_Mitra?page=3&per_page=30
https://www.goodreads.com/author/show/840890.Samar_Sen?from_search=true&from_srp=true,https://www.goodreads.com/author/list/840890.Samar_Sen?page=3&per_page=30
https://www.goodreads.com/author/show/16295477.Ahsan_Habib?from_search=true&from_srp=true,https://www.goodreads.com/author/list/16295477.Ahsan_Habib?page=3&per_page=30
https://www.goodreads.com/author/show/3430137.Shawkat_Osman?from_search=true&from_srp=true,https://www.goodreads.com/author/list/3430137.Shawkat_Osman?page=3&per_page=30
https://www.goodreads.com/author/show/1081734.Amiya_Bhushan_Majumdar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/1081734.Amiya_Bhushan_Majumdar?page=3&per_page=30
https://www.goodreads.com/author/show/1108338.Narayan_Gangopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/1108338.Narayan_Gangopadhyay?page=3&per_page=30
https://www.goodreads.com/author/show/19491801.Sarder_Jayenuddin?from_search=true&from_srp=true,https://www.goodreads.com/author/list/19491801.Sarder_Jayenuddin?page=3&per_page=30
https://www.goodreads.com/author/show/17077740.Abu_Rushd?from_search=true&from_srp=true,https://www.goodreads.com/author/list/17077740.Abu_Rushd?page=3&per_page=30
https://www.goodreads.com/author/show/6951884.Nilima_Ibrahim?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6951884.Nilima_Ibrahim?page=3&per_page=30
https://www.goodreads.com/author/show/7121956.Ahmed_Sharif?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7121956.Ahmed_Sharif?page=3&per_page=30
https://www.goodreads.com/author/show/6590819.Satyajit_Ray?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6590819.Satyajit_Ray?page=3&per_page=30
https://www.goodreads.com/author/show/688752.Bimal_Kar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/688752.Bimal_Kar?page=3&per_page=30
https://www.goodreads.com/author/show/4859144.Ramapada_Chowdhury?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4859144.Ramapada_Chowdhury?page=3&per_page=30
https://www.goodreads.com/author/show/46444.Syed_Ali_Ahsan?from_search=true&from_srp=true,https://www.goodreads.com/author/list/46444.Syed_Ali_Ahsan?page=3&per_page=30
https://www.goodreads.com/author/show/1992415.Syed_Waliullah?from_search=true&from_srp=true,https://www.goodreads.com/author/list/1992415.Syed_Waliullah?page=3&per_page=30
https://www.goodreads.com/author/show/7900658.Shaktipada_Rajguru?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7900658.Shaktipada_Rajguru?page=3&per_page=30
https://www.goodreads.com/author/show/9438997.Gour_Kishore_Ghosh?from_search=true&from_srp=true,https://www.goodreads.com/author/list/9438997.Gour_Kishore_Ghosh?page=3&per_page=30
https://www.goodreads.com/author/show/3515241.Samaresh_Basu?from_search=true&from_srp=true,https://www.goodreads.com/author/list/3515241.Samaresh_Basu?page=3&per_page=30
https://www.goodreads.com/author/show/746916.Narayan_Sanyal?from_search=true&from_srp=true,https://www.goodreads.com/author/list/746916.Narayan_Sanyal?page=3&per_page=30
https://www.goodreads.com/author/show/6982350.Munier_Choudhury?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6982350.Munier_Choudhury?page=3&per_page=30
https://www.goodreads.com/author/show/8107921.Rashid_Karim?from_search=true&from_srp=true,https://www.goodreads.com/author/list/8107921.Rashid_Karim?page=3&per_page=30
https://www.goodreads.com/author/show/1376622.Ritwik_Ghatak?from_search=true&from_srp=true,https://www.goodreads.com/author/list/1376622.Ritwik_Ghatak?page=3&per_page=30
https://www.goodreads.com/author/show/6969425.Abu_Ishaque?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6969425.Abu_Ishaque?page=3&per_page=30
https://www.goodreads.com/author/show/7885475.Romena_Afaz?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7885475.Romena_Afaz?page=3&per_page=30
https://www.goodreads.com/author/show/5833829.Mahasweta_Devi?from_search=true&from_srp=true,https://www.goodreads.com/author/list/5833829.Mahasweta_Devi?page=3&per_page=30
https://www.goodreads.com/author/show/6966375.Narayan_Debnath?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6966375.Narayan_Debnath?page=3&per_page=30
https://www.goodreads.com/author/show/14738682.Shamsuddin_Abul_Kalam?from_search=true&from_srp=true,https://www.goodreads.com/author/list/14738682.Shamsuddin_Abul_Kalam?page=3&per_page=30
https://www.goodreads.com/author/show/4715300.Sukanta_Bhattacharya?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4715300.Sukanta_Bhattacharya?page=3&per_page=30
https://www.goodreads.com/author/show/6916245.Ishwar_Chandra_Vidyasagar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6916245.Ishwar_Chandra_Vidyasagar?page=3&per_page=30
https://www.goodreads.com/author/show/6946437.Michael_Madhusudan_Dutt?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6946437.Michael_Madhusudan_Dutt?page=3&per_page=30
https://www.goodreads.com/author/show/7153798.Rajnarayan_Basu?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7153798.Rajnarayan_Basu?page=3&per_page=30
https://www.goodreads.com/author/show/955120.Dinabandhu_Mitra?from_search=true&from_srp=true,https://www.goodreads.com/author/list/955120.Dinabandhu_Mitra?page=3&per_page=30
https://www.goodreads.com/author/show/7859865.Sanjib_Chandra_Chattopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7859865.Sanjib_Chandra_Chattopadhyay?page=3&per_page=30
https://www.goodreads.com/author/show/20266987.Bhai_Girish_Chandra_Sen?from_search=true&from_srp=true,https://www.goodreads.com/author/list/20266987.Bhai_Girish_Chandra_Sen?page=3&per_page=30
https://www.goodreads.com/author/show/20424536._?from_search=true&from_srp=true,https://www.goodreads.com/author/list/20424536._?page=3&per_page=30
https://www.goodreads.com/author/show/6916233.Kaliprasanna_Singha?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6916233.Kaliprasanna_Singha?page=3&per_page=30
https://www.goodreads.com/author/show/17934207.Dwijendranath_Tagore,https://www.goodreads.com/author/list/17934207.Dwijendranath_Tagore?page=3&per_page=30
https://www.goodreads.com/author/show/5808465.Mir_Mosharraf_Hossain?from_search=true&from_srp=true,https://www.goodreads.com/author/list/5808465.Mir_Mosharraf_Hossain?page=3&per_page=30
https://www.goodreads.com/author/show/7456864.Troilokyanath_Mukhopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/7456864.Troilokyanath_Mukhopadhyay?page=3&per_page=30
https://www.goodreads.com/author/show/14229693.Hason_Raja?from_search=true&from_srp=true,https://www.goodreads.com/author/list/14229693.Hason_Raja?page=3&per_page=30
https://www.goodreads.com/author/show/33425814.Jagdish_Chandra_Bose?from_search=true&from_srp=true,https://www.goodreads.com/author/list/33425814.Jagdish_Chandra_Bose?page=3&per_page=30
https://www.goodreads.com/author/show/36913.Rabindranath_Tagore?from_search=true&from_srp=true,https://www.goodreads.com/author/list/36913.Rabindranath_Tagore?page=3&per_page=30
https://www.goodreads.com/author/show/19857465.Kamini_Roy?from_search=true&from_srp=true,https://www.goodreads.com/author/list/19857465.Kamini_Roy?page=3&per_page=30
