URL,Details
https://www.goodreads.com/user/show/1381728-maxwell,"Age 31, Male, The United States"
https://www.goodreads.com/user/show/48650982-always-pouting,Always Pouting hasn't added any details yet.
https://www.goodreads.com/user/show/792145-sue-bridehead-a-pseudonym,Sue Bridehead (A Pseudonym) hasn't added any details yet.
https://www.goodreads.com/user/show/8655084-phrynne,"Sydney, 02, Australia"
https://www.goodreads.com/user/show/66366804-usman-hickmath,"Colombo, Sri Lanka"
https://www.goodreads.com/user/show/5464046-porshajo,"Age 54, Female, Pittsburgh, PA"
https://www.goodreads.com/user/show/31111971-rumana-nasrin,Age 39
https://www.goodreads.com/user/show/22388226-mehedi-hasan,"Age 30, Dhaka, 81"
https://www.goodreads.com/user/show/31495129-shadin-pranto,"Age 28, Male, Jahangirnagar University, Savar,Dhaka."
https://www.goodreads.com/user/show/62311634-omar-faruk,Age 27
https://www.goodreads.com/user/show/20402309-auyon-islam,"Male, Adelaide, SA, Australia"
https://www.goodreads.com/user/show/94228522-md-shariful-islam,"Age 24, Dhaka, 81"
https://www.goodreads.com/user/show/59939457-protik-nag,"Age 28, Male, Dhaka"
https://www.goodreads.com/user/show/17084602-ishita-mukherjee,"Age 30, Calcutta, 28, India"
https://www.goodreads.com/user/show/5716431-sutapa,"Age 55, Barrackpore. Palta, India"
https://www.goodreads.com/user/show/8089630-saikat-mahmud,Dhaka
https://www.goodreads.com/user/show/38408987-yasir-sarkar,"Dhaka, 81"
https://www.goodreads.com/user/show/54446302-tanjim,Tanjim hasn't added any details yet.
https://www.goodreads.com/user/show/30437003-rupshali,N/A
https://www.goodreads.com/user/show/53016872-bookish-veenita,"Kolkata, India"
https://www.goodreads.com/user/show/36271316-rahul-dutta,"Fremont, CA"
https://www.goodreads.com/user/show/32372175-avishek-datta,"Age 31, Male, chittagong"
https://www.goodreads.com/user/show/24523959-ratul,"Dhaka, 1207"
https://www.goodreads.com/user/show/2993169-krishnendu,"Age 38, Kolkata/Siliguri, West Bengal, India"
https://www.goodreads.com/user/show/113594314-sourav-das,"Age 30, Howrah, 033, India"
https://www.goodreads.com/user/show/30981903-sazzad-hossain,N/A
https://www.goodreads.com/user/show/30400738-amrita,N/A
https://www.goodreads.com/user/show/43083672,Bangladesh
https://www.goodreads.com/user/show/58121619,"Dhaka, 81"
https://www.goodreads.com/user/show/127128713-adya,"Age 21, Female"
https://www.goodreads.com/user/show/17327916-sandeepan-mondal,India
https://www.goodreads.com/user/show/30226237-amrita,"Mumbai, India"
https://www.goodreads.com/user/show/2855256-sandeep,"Bangalore, India"
https://www.goodreads.com/user/show/11889624-qube,"Bangalore/Delhi, India"
https://www.goodreads.com/user/show/17031197-anupama-c-k-b0rn-2-read,"Bangalore, India"
https://www.goodreads.com/user/show/5299698-pawan,Age 50
https://www.goodreads.com/user/show/5613421-aniotus-marcus-longmuir,The United States
https://www.goodreads.com/user/show/22720464-zerin-hasan,Dhaka
https://www.goodreads.com/user/show/93783030-israt-eva,"Age 25, Dhaka, 81"
https://www.goodreads.com/user/show/108024468-mehedi-hasan,"Age 23, Dhaka"
https://www.goodreads.com/user/show/122025267-mukid,"Male, chittagong"
https://www.goodreads.com/user/show/116247187-swarnakshi-dutta,"Kolkata, 28, India"
https://www.goodreads.com/user/show/17135695-vijai-jayaram,"Cochin, India"
https://www.goodreads.com/user/show/149970015-sudip-paul,"Age 21, Male, Bangladesh"
https://www.goodreads.com/user/show/71813231-krishnakumar-parthasarathy,"Vadodara, 09, India"
https://www.goodreads.com/user/show/112897278-padmini,Switzerland
https://www.goodreads.com/user/show/5641144-vik,"New Delhi, India"
https://www.goodreads.com/user/show/12822-sandeep-vasudevan,Sandeep Vasudevan hasn't added any details yet.
https://www.goodreads.com/user/show/5152394-denim-datta,"Age 34, Tempe, AZ"
https://www.goodreads.com/user/show/118876002-harun-ahmed,Bangladesh
https://www.goodreads.com/user/show/97464675-mahbuba-sinthia,N/A
https://www.goodreads.com/user/show/110014231,"Male, Dhaka, Prem Bagan"
https://www.goodreads.com/user/show/17795924-rajib-goswami,"San Antonio, TX"
https://www.goodreads.com/user/show/31643033-hridi-halder,N/A
https://www.goodreads.com/user/show/129566469-rajon-das,"Male, Sylhet"
https://www.goodreads.com/user/show/79904529-thedeadromantic,N/A
https://www.goodreads.com/user/show/140344913-shrabani-paul,Female
https://www.goodreads.com/user/show/164545635-the-girl-who-reads,N/A
https://www.goodreads.com/user/show/85859035-zobayer-akon,"Age 27, Dhaka, 81"
https://www.goodreads.com/user/show/94316521-theboichor,theboichor hasn't added any details yet.
https://www.goodreads.com/user/show/33954954-dipanjan,Male
https://www.goodreads.com/user/show/19331567-indic-publication,"San Mateo, CA"
https://www.goodreads.com/user/show/19960214-sakib-hasan,Sakib Hasan hasn't added any details yet.
https://www.goodreads.com/user/show/147327520-aditya-homchowdhury,"Age 21, Kolkata, India"
https://www.goodreads.com/user/show/107924669-jesan,Bangladesh
https://www.goodreads.com/user/show/16362673-arindam-bhowmick,"Calcutta, 28, India"
https://www.goodreads.com/user/show/22538158-shahidul-nahid,N/A
https://www.goodreads.com/user/show/21589197-moheul-mithu,N/A
https://www.goodreads.com/user/show/35241524-partha-sarker,N/A
https://www.goodreads.com/user/show/47999992-kamal-uddin,"Dhaka, 81"
https://www.goodreads.com/user/show/41740757-noushad-sojib,"Age 33, Bangladesh"
https://www.goodreads.com/user/show/61221095,"Age 28, Male, Dhaka"
https://www.goodreads.com/user/show/10688672-r,"Age 35, Male"
https://www.goodreads.com/user/show/986856-sim,N/A
https://www.goodreads.com/user/show/115919589-blind-alley,Bangladesh
https://www.goodreads.com/user/show/35335164-neela,"Age 35, Dhaka"
https://www.goodreads.com/user/show/95940479-shakil-mahmud,"Male, Dhaka, 81"
https://www.goodreads.com/user/show/88006239-md-rahat-khan,"Dhaka, 1207"
https://www.goodreads.com/user/show/126185952-aaneela-reads,Bangladesh
https://www.goodreads.com/user/show/21843540-shafaat,Bangladesh
https://www.goodreads.com/user/show/8735355-soumyabrata-sarkar,"Age 32, Durgapur, West Bengal, India"
https://www.goodreads.com/user/show/20502521-nawrin-boshra,Germany
https://www.goodreads.com/user/show/16297867-tisha,"Female, Dhaka"
https://www.goodreads.com/user/show/8044624-samidhya-sarker-torsho,"Age 32, Dhaka, 1000"
https://www.goodreads.com/user/show/150630658-kona-reads,"Age 30, Bangladesh"
https://www.goodreads.com/user/show/42728018,"Age 29, ময়মনসিংহ"
https://www.goodreads.com/user/show/63211929-arpita,N/A
https://www.goodreads.com/user/show/62933356-tahmid-anik,"Age 24, Bangladesh"
https://www.goodreads.com/user/show/115454370-junayed-hussain-sujon,"Age 27, Qatif, 06, Saudi Arabia"
https://www.goodreads.com/user/show/125284194-tashin-abdullah,"Age 23, Khulna"
https://www.goodreads.com/user/show/109552653-mehedi-hasan-mahfuz,"Age 23, Gazipur, 1720"
https://www.goodreads.com/user/show/76114432-afia-jahin-mow,Age 25
https://www.goodreads.com/user/show/44030883-nipabithi-toa,"Age 23, Female, Moulvibazar"
https://www.goodreads.com/user/show/13142940-sujoy-nath,"Alwaye, 13, India"
https://www.goodreads.com/user/show/26278904-monika-ghosh,"Age 30, Female, Bangladesh"
https://www.goodreads.com/user/show/84448513,Bangladesh
https://www.goodreads.com/user/show/48739374,N/A
https://www.goodreads.com/user/show/7733394-muhammad,Bangladesh
https://www.goodreads.com/user/show/94883779-subrata-das,Bangladesh
https://www.goodreads.com/user/show/135549953-sneha-dey,"Age 22, India"
https://www.goodreads.com/user/show/123567991-sh-sanowar,N/A
https://www.goodreads.com/user/show/25360324-nabila-tabassum-chowdhury,"Female, Dhaka"
https://www.goodreads.com/user/show/28904316-nusfaq-mahmood,"Melbourne, Australia"
https://www.goodreads.com/user/show/168050558-k-s-mahmood,N/A
https://www.goodreads.com/user/show/70377469-farhana-l-ba,Age 28
https://www.goodreads.com/user/show/68617881,Bangladesh
https://www.goodreads.com/user/show/38087945-farha-crystal,"Age 35, Bangladesh"
https://www.goodreads.com/user/show/28682925,"Male, ঢাকা"
https://www.goodreads.com/user/show/89454074-dhiman,Dhiman hasn't added any details yet.
https://www.goodreads.com/user/show/17101651-rashedul-riyad,"Age 31, Male, Dhaka"
https://www.goodreads.com/user/show/53122078,N/A
https://www.goodreads.com/user/show/134360945-kawkab,Kawkab  hasn't added any details yet.
https://www.goodreads.com/user/show/72466075-ratnodip,"Age 23, Gurgaon, 10, India"
https://www.goodreads.com/user/show/9386910-shamik,India
https://www.goodreads.com/user/show/86078455-arijit-ganguly,N/A
https://www.goodreads.com/user/show/56424418-shotabdi,"Age 30, Bangladesh"
https://www.goodreads.com/user/show/96361997-mahesh,India
https://www.goodreads.com/user/show/16296825-anindita-ray,N/A
https://www.goodreads.com/user/show/116302637-fatema-tuz-shammi,"Age 25, Dhaka"
https://www.goodreads.com/user/show/110299064-rohini-biswas,India
https://www.goodreads.com/user/show/7978781-ritika-gupta,"Mumbai, 16, India"
https://www.goodreads.com/user/show/77951195-sharanya-mukherji,N/A
https://www.goodreads.com/user/show/39190025-antara-vinayachandran,India
https://www.goodreads.com/user/show/8205322-sarwat,Bangladesh
https://www.goodreads.com/user/show/10132726-ashish-chakravarty,"New Delhi, 07, India"
https://www.goodreads.com/user/show/10467601-sid,India
https://www.goodreads.com/user/show/9213132-manisha,N/A
https://www.goodreads.com/user/show/30537625-anupama-sarkar,N/A
https://www.goodreads.com/user/show/11117799-book-ninja,"Age 32, Pakistan"
https://www.goodreads.com/user/show/35290388-tanvir-klion,"Age 32, Chittagong"
https://www.goodreads.com/user/show/34253602-deepak-pitaliya,"Age 57, Jaipur, Rajasthan, India"
https://www.goodreads.com/user/show/109311066-ayan-sarkar,India
https://www.goodreads.com/user/show/115638485-linking-sa-ir,"Age 28, Dhaka"
https://www.goodreads.com/user/show/74912352-avrodip-biswas,"Male, Tejgaon, 81"
https://www.goodreads.com/user/show/114135056-sudipta-saha-niloy,"Age 26, Dhaka"
https://www.goodreads.com/user/show/11743227-soumitro-roy,"Age 32, Silchar, 03, India"
https://www.goodreads.com/user/show/103054545-saurav,"Age 35, Male, Hamburg, Germany"
https://www.goodreads.com/user/show/154410365-honey-sharma,India
https://www.goodreads.com/user/show/9381908-divya-pal,Divya Pal hasn't added any details yet.
https://www.goodreads.com/user/show/134424208-rashed,Bangladesh
https://www.goodreads.com/user/show/84147859,"Age 38, Male, Khulna, 9250"
https://www.goodreads.com/user/show/31715728-maruf-hossain,N/A
https://www.goodreads.com/user/show/2507301-anne,"Chennai, India"
https://www.goodreads.com/user/show/36859595-nishat,"Age 26, Dhaka"
https://www.goodreads.com/user/show/82863124-sr-t-j-r,Female
https://www.goodreads.com/user/show/55475088-salawat-ullah,"Pasadena, CA"
https://www.goodreads.com/user/show/87533127-yeasmin-alo,Female
https://www.goodreads.com/user/show/106743668-momin,"Age 25, Bangladesh"
https://www.goodreads.com/user/show/35329803-muhaimeen,"Age 28, Male, Bangladesh"
https://www.goodreads.com/user/show/45466786-galib,"Male, Bangladesh"
https://www.goodreads.com/user/show/18455018-gulzar-choudhury,"Age 38, Hailakandi, Assam, 28, India"
https://www.goodreads.com/user/show/136704529-juiena-shabnam,Bangladesh
https://www.goodreads.com/user/show/106687490,"Age 27, Dhaka, 81"
https://www.goodreads.com/user/show/48621186-melody,"Age 30, Female, Dhaka"
https://www.goodreads.com/user/show/120879735-mehzabin-hridy,N/A
https://www.goodreads.com/user/show/77591102-ishraque-aornob,N/A
https://www.goodreads.com/user/show/175245371-ishtiyak-fahmi,Age 19
https://www.goodreads.com/user/show/86022771-sabbir-hossain-abir,"Age 25, Dhaka"
https://www.goodreads.com/user/show/100499617-saim-uddin,"Chattogram, Bangladesh"
https://www.goodreads.com/user/show/9488132-atharva,"Mumbai, 16, India"
https://www.goodreads.com/user/show/74352497-mahin,"Male, Budapest"
https://www.goodreads.com/user/show/91410973-kaniz-fatema,Kaniz Fatema hasn't added any details yet.
https://www.goodreads.com/user/show/46073495-baishali-datta,"Age 29, Bangladesh"
https://www.goodreads.com/user/show/83120151-anwesha,"Female, Lexington, KY"
https://www.goodreads.com/user/show/3310206-jagati-bagchi,"Kolkata, 47, India"
https://www.goodreads.com/user/show/5865570-rajat,India
https://www.goodreads.com/user/show/14078964-punit,"Age 35, Singapore, Singapore"
https://www.goodreads.com/user/show/11582701-shreela-sen,"KANPUR, India"
https://www.goodreads.com/user/show/59780299-hibatun-nur,N/A
https://www.goodreads.com/user/show/139677050-omar-alfaruque,"Male, Markuli, Sylhet Division"
https://www.goodreads.com/user/show/65759828-shahinul-alam,Shahinul Alam hasn't added any details yet.
https://www.goodreads.com/user/show/134113732-tanzima-rahman,Tanzima Rahman hasn't added any details yet.
https://www.goodreads.com/user/show/11121606-riddhiman,"Age 41, Male, India"
https://www.goodreads.com/user/show/97171309-ahmed-reejvi,"Dhaka, 81"
https://www.goodreads.com/user/show/168432475-munem-shahriar-borno,"Age 29, Male, Dhaka"
https://www.goodreads.com/user/show/108639377-shibnath-das,Shibnath Das hasn't added any details yet.
https://www.goodreads.com/user/show/79595513-mj,"Age 30, Female, Jamaica, NY"
https://www.goodreads.com/user/show/14943717-indrani-sen,"Age 51, Mumbai, India"
https://www.goodreads.com/user/show/121021140-ushashi,"Age 30, Female, India"
https://www.goodreads.com/user/show/632247-chrissie,"Female, Sweden"
https://www.goodreads.com/user/show/23589232-nusrat-mahmood,"Age 33, Dhaka, Dhaka"
https://www.goodreads.com/user/show/1647244-dhara-mehta,"Age 45, Flushing, NY"
https://www.goodreads.com/user/show/38414168-ashish-iyer,Ashish Iyer hasn't added any details yet.
https://www.goodreads.com/user/show/106530479-atri,India
https://www.goodreads.com/user/show/75826210-nour-alalii,N/A
